Matsize,ms,,
100,0.080896,,
1000,11.7402,,
5000,187.663,,
10000,1326.35,,
15000,1663.32,,
20000,6160.97,,
25000,8503.42,,
30000,12568,,
35000,21439.2,,
40000,26314.6,,
45000,388853.5,,
,,,
,,,
,,,
Mat Size,block dim,thread size,ms
100,10,10,0.145888
1000,100,10,6.90454
5000,500,10,116.175
10000,1000,10,1359.6
15000,1500,10,3013.66
20000,2000,10,2507.17
25000,2500,10,8401.97
,,,
,,,
Mat Size,block dim,thread size,ms
100,100,1,0.1555072
1000,1000,1,9.78003
1000,200,5,7.86637
1000,100,10,7.14454
1000,50,20,7.4417
1000,40,25,7.1137
2000,2000,1,33.4889
2000,400,5,26.7578
2000,200,10,25.4808
2000,100,20,30.8291
2000,80,25,26.7793
3000,3000,1,72.9312
3000,600,5,62.4327
3000,300,10,59.0376
3000,150,20,63.9644
3000,120,25,59.7295
3000,100,30,61.8079
5000,5000,1,169.977
5000,1000,5,140.61
5000,500,10,166.331
5000,250,20,150.015
5000,200,25,148.627
10000,10000,1,709.199
10000,2000,5,634.628
10000,1000,10,602.51
10000,500,20,646.317
10000,400,25,605.331
15000,15000,1,1377.62
15000,3000,5,1404.1
15000,1500,10,1402.41
15000,750,20,1311.32
15000,600,25,2332.5
20000,20000,1,2986.71
20000,40000,5,2489.39
20000,2000,10,2393.84
20000,1000,20,2536.26
20000,800,25,2392.35
25000,25000,1,9510.41
25000,5000,5,9031.44
25000,2500,10,8206.93
25000,1250,20,8399.77
25000,1000,25,8352.12